"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-12-08,6,"La Pastora",1.45,NA,NA,NA,9,13,NA,NA,0.05,97,3.1,0,13.51,2.2,76
2014-12-08,7,"La Pastora",1.55,NA,NA,NA,5,13,1,NA,0.03,97,3,0.002,13.52,1.4,208
2014-12-08,8,"La Pastora",1.62,NA,NA,NA,5,12,NA,NA,0.02,97,3,0.025,13.53,1.2,211
2014-12-08,9,"La Pastora",1.76,NA,NA,NA,4,6,NA,NA,0.02,97,3.3,0.052,13.74,1.2,161
2014-12-08,10,"La Pastora",1.68,NA,NA,NA,6,16,NA,NA,0.03,97,3.3,0.084,13.99,1.2,174
2014-12-08,11,"La Pastora",1.64,NA,NA,NA,8,15,1,NA,0.03,97,3.2,0.116,14.32,1.4,153
2014-12-08,6,"Obispado",1.86,5.5,13.2,18.7,5,25,NA,956.1572368,0.02,NA,NA,0.001,13.16,5,78
2014-12-08,7,"Obispado",1.85,12.3,14.2,26.5,2,18,1,956.8240132,0.02,NA,NA,0.004,13.25,4.9,84
2014-12-08,8,"Obispado",2.08,20.2,15.3,35.5,3,28,NA,957.2240789,0,NA,NA,0.022,13.31,4.9,68
2014-12-08,9,"Obispado",2.22,27,15.6,42.6,2,23,5,957.7575,0,NA,NA,0.038,13.52,3.8,81
2014-12-08,10,"Obispado",2.16,24,15.5,39.5,3,33,11,958.2909211,0.02,NA,NA,0.053,13.65,3.4,99
2014-12-08,11,"Obispado",2.26,24.4,15.6,40,3,32,4,958.1575658,0.03,99,NA,0.079,13.97,2.5,114
2014-12-08,6,"San Bernabe",0.73,4.3,3.8,8.1,6,13,NA,958.4242763,0.01,96,3.2,0,14,2.6,187
2014-12-08,7,"San Bernabe",0.93,8.6,4.7,13.3,3,19,3,959.2244079,0,96,3.5,0.003,13.95,2.1,217
2014-12-08,8,"San Bernabe",1.23,11.5,4.9,16.4,4,15,2,959.7578289,0,95,3.8,0.036,14.1,5.2,206
2014-12-08,9,"San Bernabe",1.4,9.3,5.3,14.6,5,31,NA,960.29125,0.01,92,3.6,0.06,14.51,4.9,195
2014-12-08,10,"San Bernabe",1.38,8.1,5,13.1,6,27,4,960.9580263,0,92,3.4,0.091,14.44,4.9,211
2014-12-08,11,"San Bernabe",1.32,8.6,5.1,13.7,6,25,7,960.8246711,0,93,3.5,0.1,14.49,3.6,166
2014-12-08,6,"San Nicolas",2.07,6.6,16.2,22.8,10,14,3,968.0258553,0.02,96,1.9,0,13.23,5.2,333
2014-12-08,7,"San Nicolas",2.31,16.3,21.6,37.9,5,22,NA,968.8259868,0.01,96,1.9,0.003,13.25,4.8,329
2014-12-08,8,"San Nicolas",2.36,15.1,20.8,35.9,6,21,7,969.2260526,0,96,2,0.033,13.34,4.7,339
2014-12-08,9,"San Nicolas",2.29,14.7,19.5,34.2,8,25,NA,969.8928289,0,96,2,0.061,13.68,5.1,350
2014-12-08,10,"San Nicolas",2.26,12.5,16.1,28.6,10,26,20,970.42625,0.01,96,1.9,0.113,13.95,7.2,355
2014-12-08,11,"San Nicolas",2.29,14.2,16.1,30.3,10,23,4,970.2928947,0.01,96,2,0.139,14.33,5.2,349
2014-12-08,6,"Santa Catarina",NA,NA,NA,NA,NA,32,NA,942.9550658,0,92,NA,0.001,12.45,8.6,102
2014-12-08,7,"Santa Catarina",NA,NA,NA,NA,NA,16,NA,943.7551974,0,92,NA,0.004,12.51,7.9,99
2014-12-08,8,"Santa Catarina",NA,NA,NA,NA,NA,42,NA,944.1552632,0,92,NA,0.019,12.66,9.6,101
2014-12-08,9,"Santa Catarina",NA,NA,NA,NA,NA,33,NA,944.8220395,0,91,NA,0.043,12.85,8.4,105
2014-12-08,10,"Santa Catarina",NA,NA,NA,NA,NA,26,NA,945.4888158,0,90,NA,0.045,12.91,7.9,94
2014-12-08,11,"Santa Catarina",NA,NA,NA,NA,NA,48,NA,945.2221053,0,90,NA,0.067,13.46,4.8,65
