"fecha","hora","sitio","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RAINF","HR","SO2","SR","TOUT","WS","WDR"
2014-06-01,0,"La Pastora",0.47,NA,NA,NA,27,84,5,960.5579605,0,75,NA,0,26.24,11.7,75
2014-06-01,1,"La Pastora",0.48,NA,NA,NA,22,31,13,959.7578289,0,81,NA,0,25.31,7.1,79
2014-06-01,2,"La Pastora",0.49,NA,NA,NA,17,37,10,960.29125,0,85,NA,0,24.25,6.6,59
2014-06-01,3,"La Pastora",0.49,NA,NA,NA,16,47,6,960.4246053,0,87,NA,0,23.71,4.8,56
2014-06-01,4,"La Pastora",0.5,NA,NA,NA,15,29,6,959.7578289,0,89,NA,0,23.08,5.4,43
2014-06-01,5,"La Pastora",0.51,NA,NA,NA,11,38,7,959.8911842,0,92,NA,0,22.29,1.4,176
2014-06-01,0,"Obispado",0.28,1.6,8.2,9.9,23,33,NA,946.6890132,0,73,NA,0.001,26.4,8.6,29
2014-06-01,1,"Obispado",0.31,2.1,13.6,15.7,13,46,24,946.4223026,0,78,NA,0.001,25.52,5.7,22
2014-06-01,2,"Obispado",0.29,2.1,11.4,13.6,12,36,26,946.2889474,0,83,NA,0.001,24.58,4.9,34
2014-06-01,3,"Obispado",0.31,2.3,16.1,18.3,7,52,19,946.0222368,0,85,NA,0.001,23.95,2.5,49
2014-06-01,4,"Obispado",0.34,1.7,14.6,16.4,8,50,12,946.1555921,0,86,NA,0.001,23.71,2.6,53
2014-06-01,5,"Obispado",0.39,5.6,20.4,26,3,40,20,946.0222368,0,88,NA,0.002,22.73,1.3,6
2014-06-01,0,"San Bernabe",0.59,1.7,2,3.7,21,51,NA,948.1559211,0,69,2,0,26.5,8.9,137
2014-06-01,1,"San Bernabe",1.02,2.1,3.8,5.7,16,30,NA,947.8892105,0,71,2,0,26.06,6.1,163
2014-06-01,2,"San Bernabe",0.93,2.3,4.3,6.5,12,38,NA,947.4891447,0,74,1.8,0,25.37,5.4,220
2014-06-01,3,"San Bernabe",0.79,2.1,4,6,12,33,NA,947.3557895,0,79,1.5,0,24.35,3.2,176
2014-06-01,4,"San Bernabe",0.64,2.4,4.1,6.3,10,27,NA,947.4891447,0,80,1.4,0,23.97,3.3,241
2014-06-01,5,"San Bernabe",0.6,2.9,4.3,6.9,8,34,NA,947.6225,0,81,1.2,0.001,23.33,5.2,294
2014-06-01,0,"San Nicolas",0.3,NA,NA,NA,19,85,17,956.5573026,0,76,NA,0,25.97,9.3,89
2014-06-01,1,"San Nicolas",0.26,NA,NA,NA,17,44,NA,956.2905921,0,79,NA,0,24.96,6.6,70
2014-06-01,2,"San Nicolas",0.22,NA,NA,NA,18,33,NA,955.8905263,0,81,NA,0,24.33,5.8,82
2014-06-01,3,"San Nicolas",0.24,NA,NA,NA,19,35,13,955.6238158,0,81,NA,0,24.04,5.8,86
2014-06-01,4,"San Nicolas",0.25,NA,NA,NA,20,33,NA,955.7571711,0,83,NA,0,23.6,6.1,104
2014-06-01,5,"San Nicolas",0.24,NA,NA,NA,17,40,NA,955.7571711,0,85,NA,0,23.1,3,67
2014-06-01,0,"Santa Catarina",0.55,2.4,11.3,13.6,30,51,4,932.6867105,0,60,3,0,26.01,11.3,NA
2014-06-01,1,"Santa Catarina",0.49,2.4,11,13.3,22,57,3,932.42,0,71,2.8,0,24.48,8.7,NA
2014-06-01,2,"Santa Catarina",0.48,2.8,14.3,17,13,48,NA,932.2866447,0,75,2.7,0,23.78,6.3,NA
2014-06-01,3,"Santa Catarina",0.5,2.1,12.5,14.5,14,49,22,932.0199342,0,76,2.6,0,23.2,4.4,NA
2014-06-01,4,"Santa Catarina",0.48,2,11.4,13.4,17,49,9,932.2866447,0,73,2.8,0,22.8,3.1,NA
2014-06-01,5,"Santa Catarina",0.55,5.5,14.5,20,11,52,11,932.2866447,0,74,2.9,0.002,22.12,2.3,NA
